problem,num_obj,iteration,reference_point,iRVEA_EH-metric,iNSGAIII_EH-metric,iRVEA_R_HV,iNSGAIII_R_HV,iRVEA_PMOD,iNSGAIII_PMOD,iRVEA_PMDA,iNSGAIII_PMDA,iRVEA_CCF,iNSGAIII_CCF,iRVEA_FE,iNSGAIII_FE
DTLZ6,3,7,"[1.62, 2.22e-16, 2.22e-16]",0.6104627330075268,0.11778722068212501,1.8199835263867514,1.3159651223972202,3.9620840695998147,3.403320178256473,1.4114610234740352,1.0487498586166137,1,12,9992,9612
DTLZ6,3,8,"[1.62, 2.22e-16, 2.22e-16]",0.42631174276905764,0.09857507216178348,1.7935089991459945,1.1467567400569891,3.8253108424246833,3.3501994343148036,1.5476174387510149,1.0766252246743113,1,12,11392,10812
DTLZ1,5,1,"[0.0, 0.0, 0.0, 0.0, 56.26173508]",0.0,0.05598651858506399,0,32.6476610581218,12.19505767936,5.962644445917173,23.12568245351559,3.0520125170006343,0,86,12026,17286
DTLZ1,5,2,"[0.0, 0.0, 0.0, 6.80623892, 17.0155973]",0.0,0.0639809801031857,0,32.574692762767306,10.463859465514801,2.9854776534485605,15.172247460067219,1.1306910792752143,0,86,17400,25886
DTLZ1,5,3,"[0.0, 0.0, 0.0, 2.05850061, 2.74466748]",0.0,0.4305284710538161,0,33.53748205469936,9.013893589923931,4.058145355341187,9.66810643936107,0.6786117530650883,0,86,24308,34486
DTLZ1,5,4,"[0.0, 0.0, 0.0, 0.0, 2.47879923]",0.0,0.7002645838216018,0,33.45321401317312,5.704210030684429,4.689167045213716,4.445997156088804,0.5806009180507677,0,65,30040,43086
DTLZ1,5,5,"[2.22e-16, 2.22e-16, 2.22e-16, 0.843, 1.15]",0.0,0.6266880644144095,0,33.82029496412834,6.476358717235087,6.644983136819675,3.381719911126037,0.09931649440834253,0,86,33228,50052
DTLZ1,5,6,"[2.22e-16, 2.22e-16, 2.22e-16, 0.314, 0.451]",0.0,0.8557789818436297,0,32.85714324795049,6.171787674259303,23.59497759986637,1.0456261988697537,0.10167030564100989,0,86,42270,50052
DTLZ1,5,7,"[2.22e-16, 2.22e-16, 2.22e-16, 0.167, 0.235]",0.8227782218131057,0.864535084647473,28.830049140721325,29.442210181386393,5.836125576533016,32.22246261247629,0.4853621023101027,0.10050075677939876,3,86,50054,50052
DTLZ1,5,8,"[2.22e-16, 2.22e-16, 2.22e-16, 0.167, 0.235]",0.8227782218131057,0.864535084647473,28.830049140721325,29.442210181386393,5.836125576533016,32.22246261247629,0.4853621023101027,0.10050075677939876,3,86,50054,50052
DTLZ2,5,1,"[2.31e-17, 4.58e-17, 1.55e-17, 1.35e-17, 1.01]",0.8198724671630292,0.9075846980644481,32.16793057723912,32.12559491415266,15.291123673049238,26.541726671999776,0.5757845985683038,0.5351174322809168,44,86,8508,17286
DTLZ2,5,2,"[1.89e-34, 0.0, 0.0, 1.04, 0.173]",0.6186688691002785,0.9035661878037914,31.999999999999996,31.999999999999996,5.527554709786398,22.5818045450546,0.7575232410582796,0.5929614418186414,11,84,9528,25886
DTLZ2,5,3,"[1.89e-34, 0.0, 0.222, 0.886, 0.443]",0.7808778066636114,0.9182359777147735,28.414394510682367,30.64461108275604,10.8701127420372,32.93546065580021,0.7363217048094813,0.6884625898561368,26,86,10742,34486
DTLZ2,5,4,"[1.89e-34, 0.0, 0.166, 0.995, 0.0]",0.5805834736579402,0.9283647244278432,32.0,32.233591684268625,5.01524775848415,29.849245202080393,0.7652796663761716,0.5874241753856477,10,85,11752,43086
DTLZ2,5,5,"[2.22e-16, 2.22e-16, 0.196, 0.851, 0.414]",0.8325308203849747,0.9301458436009886,29.66955814787811,32.52647272031059,21.41298231281057,29.17055336813357,0.7095524417108187,0.6847353405813654,52,85,14290,50052
DTLZ2,5,6,"[2.22e-16, 2.22e-16, 0.195, 0.851, 0.414]",0.8558967933021472,0.9301695308799675,27.324730836324218,29.349202040819687,22.9027256596733,29.154260897388784,0.6987992153179583,0.6846069714703739,67,84,23424,50052
DTLZ2,5,7,"[2.22e-16, 2.22e-16, 0.195, 0.851, 0.414]",0.8595225904557615,0.9300587897816079,30.13578139457005,32.4567163114105,22.768438955186898,29.154260897388784,0.696522169444147,0.6846069714703739,66,84,32624,50052
DTLZ2,5,8,"[2.22e-16, 2.22e-16, 0.195, 0.85, 0.414]",0.8600357620943522,0.9300343308046243,30.286643858219747,32.457343273319225,24.823075001630222,29.158585967416432,0.6963701730123987,0.6846695769650613,62,84,41824,50052
DTLZ3,5,1,"[9.66e-48, 0.0, 0.0, 12.2, 73.1]",0.36056461340255497,0.2012224209113615,31.67229000688902,32.95886235375297,9.512938367756046,24.61928714105057,11.333428651914176,15.62784639205538,5,85,9502,17286
DTLZ3,5,2,"[2.91e-49, 0.0, 0.0, 4.22, 10.6]",0.7632965960723636,0.6860001844798115,31.999999999999996,32.40645978505991,5.466219768366431,16.525694212411658,4.310538989088379,8.32461964003434,3,83,14862,25886
DTLZ3,5,3,"[5.96e-50, 0.0, 0.0, 6.98, 1.16]",1.0,0.2307134369031738,4.319665413572939,33.60850877047672,4.756795369804763,4.011675208172854,2.593016458463404,1.7307886681114069,1,86,22406,34486
DTLZ3,5,4,"[5.96e-50, 0.0, 0.641, 3.21, 0.641]",0.84977662616985,0.7485787866712907,31.999999999999996,33.80565990069974,4.321842310534809,4.091555113275989,1.7215567044368083,1.1872979670321853,2,86,29870,43086
DTLZ3,5,5,"[2.22e-16, 2.22e-16, 2.22e-16, 2.22e-16, 3.07]",0.31997790219609945,0.32386746292921587,32.730759329893814,32.16473050743633,4.63604745994672,5.1846005515907425,0.5878307956500387,0.5773282203418256,35,86,33302,50052
DTLZ3,5,6,"[2.22e-16, 2.22e-16, 2.22e-16, 2.22e-16, 1.95]",0.4978639948512636,0.5020934923480496,32.130168088562286,32.2591328986231,7.535947236046749,8.59873952316308,0.5709184916298824,0.5773282203418256,64,80,42302,50052
DTLZ3,5,7,"[2.22e-16, 2.22e-16, 2.22e-16, 2.22e-16, 1.01]",0.8592555569024901,0.8888063675494424,32.22429304270024,31.798583563198285,14.274314041242047,21.95791315332618,0.5673960463267597,0.5773282203418257,69,64,50042,50052
DTLZ3,5,8,"[2.22e-16, 2.22e-16, 2.22e-16, 2.22e-16, 1.01]",0.8592555569024901,0.8888063675494424,32.22429304270024,31.798583563198285,14.274314041242047,21.95791315332618,0.5673960463267597,0.5773282203418257,69,64,50042,50052
DTLZ4,5,1,"[6.08e-19, 1.05e-166, 0.723, 0.241, 0.723]",0.867326035333123,0.9079859749746965,26.545979137440195,33.31388295575787,20.77105034353848,29.343699178176742,0.7198997281079889,0.7069762487397454,63,86,6006,17286
DTLZ4,5,2,"[1.52e-35, 0.0, 0.844, 0.0, 0.633]",0.8412000717512178,0.9008188534312342,30.497226237716845,31.590341345804102,17.234887784855033,26.986225677900112,0.685630488402378,0.6647930702992327,45,85,13930,25886
DTLZ4,5,3,"[0.664, 0.742, 0.742, 0.742, 0.625]",0.407052333193225,0.441736782349136,61.87120673808302,59.65163531629402,10.926119454552271,12.113357737855454,0.7999833765427942,0.7880725721889792,66,86,16352,34486
DTLZ4,5,4,"[0.664, 0.742, 0.742, 0.742, 0.625]",0.428526657459306,0.44793032353527423,56.20273816827534,56.33438439691351,11.014654671971696,10.864583849825202,0.7942710153052809,0.7832953230950971,56,86,25342,43086
DTLZ4,5,5,"[0.664, 0.742, 0.742, 0.742, 0.625]",0.4363744916372539,0.4451235123523111,56.92381441578267,56.59056743557908,11.397985994163937,11.030847104291594,0.7891834949261504,0.7853582628815576,75,82,34542,50052
DTLZ4,5,6,"[0.664, 0.742, 0.742, 0.742, 0.625]",0.4344031472734286,0.4451600855960857,56.89484393277683,56.59058739196137,10.519440591822363,11.030847104291594,0.7898720326641697,0.7853582628815576,53,82,43742,50052
DTLZ4,5,7,"[2.22e-16, 2.22e-16, 2.22e-16, 0.829, 2.22e-16]",0.7903099327965518,0.5211217186861319,22.433977730218583,20.66362690473474,17.121918253034057,8.684099299243293,0.5703231955534407,0.88757825007547,52,82,50070,50052
DTLZ4,5,8,"[2.22e-16, 2.22e-16, 2.22e-16, 0.648, 2.22e-16]",0.6294671642783136,0.5189925807551163,13.254398077452981,12.28594777281634,13.990055567591153,9.065133337715471,0.5703231955534408,0.8875782500754699,52,82,50070,50052
DTLZ5,5,1,"[2.22e-16, 2.22e-16, 2.22e-16, 0.648, 2.22e-16]",0.44448010514838837,0.22078751936509985,5.1850672991100195,8.096603243513352,4.712985744491885,8.19663665583045,0.874000978460691,1.1573596882812702,6,83,8136,17286
DTLZ5,5,2,"[2.22e-16, 2.22e-16, 2.22e-16, 0.649, 2.22e-16]",0.4446640444672356,0.14143473878897497,8.761067095781591,8.25509275697944,4.808625776176617,6.911851340393788,0.8541122481201382,1.6086582480454552,7,83,9336,25886
DTLZ5,5,3,"[3.16, 3.16, 3.16, 2.56, 3.34]",0.36008149116907945,0.07958446944914464,156.7864551174042,174.68740712512036,2.8948774959431463,3.341432974974886,1.1445987148247947,1.0583876294643841,1,85,9854,34486
DTLZ5,5,4,"[2.19, 1.95, 1.95, 1.95, 2.41]",1.0,0.09119341676965367,115.15809222118041,132.83229248812444,2.417776368887118,4.154423223823477,1.2373041398572007,1.3212466635030342,1,80,17100,43086
DTLZ5,5,5,"[3.08, 3.08, 3.53, 3.53, 2.81]",0.2269862508060317,0.05512612619515544,176.6457970973506,174.9628331232908,2.0782380119746997,3.5561061405226466,1.1523292705368111,1.3989248289353617,1,82,25124,50052
DTLZ5,5,6,"[3.08, 3.08, 3.53, 3.53, 2.81]",0.4362696203405527,0.05512612619515544,174.60705459129915,174.9628331232908,2.3594161707099017,3.5561061405226466,1.0298874207704525,1.3989248289353617,2,82,33924,50052
DTLZ5,5,7,"[2.22e-16, 2.22e-16, 0.959, 2.22e-16, 2.22e-16]",0.5435604833447334,0.20153722911321045,9.1703321450157,13.182012660419144,3.794915018732813,6.129322936887652,0.9736018675283846,1.5376945091434344,4,82,35088,50052
DTLZ5,5,8,"[2.22e-16, 2.22e-16, 0.959, 2.22e-16, 2.22e-16]",0.42123549697075036,0.26349808169915967,11.27849535828044,12.71649921304531,3.868896849634015,6.129322936887652,1.1358914142651955,1.5376945091434344,3,82,36288,50052
DTLZ6,5,1,"[2.22e-16, 2.22e-16, 0.959, 2.22e-16, 2.22e-16]",0.5124624809669157,0.29113001817177453,15.098094189335677,12.438670721027192,6.422160242354359,6.715325924545794,6.24442296959308,6.309319428764562,10,86,11790,17286
DTLZ6,5,2,"[2.22e-16, 2.22e-16, 0.959, 2.22e-16, 2.22e-16]",0.4496716663077668,0.2085311952903387,15.482815821465458,11.86371891253341,6.133133869984491,6.8342536518264785,5.816244070437704,7.154263032829081,14,81,20184,25886
DTLZ6,5,3,"[0.657, 0.732, 0.732, 0.581, 7.96]",0.23928736223298774,0.13105248618841178,45.379960252844995,46.83086462575337,3.8157698936466034,4.395446380629287,1.6613162316140617,2.581459902067203,41,69,24846,34486
DTLZ6,5,4,"[0.657, 0.732, 0.732, 0.581, 7.96]",0.2361204659195968,0.165444289801619,43.61701165483906,45.36108507655317,3.959857258830701,4.480442073320774,1.6274440087378277,2.7896457047738292,63,77,34046,43086
DTLZ6,5,5,"[0.657, 0.732, 0.732, 0.581, 7.96]",0.2609594050845986,0.11367491777306903,44.64556183326756,45.393343896411295,3.740220217294914,3.8595484546630376,1.582765117106643,1.990232799034641,4,77,43246,50052
DTLZ6,5,6,"[0.657, 0.732, 0.732, 0.581, 7.96]",0.3573534445540567,0.07075742748684541,44.64556183326756,44.80719433335754,2.9618660639202448,3.8595484546630376,1.1800029769243021,1.990232799034641,3,77,50054,50052
DTLZ6,5,7,"[2.22e-16, 2.22e-16, 2.22e-16, 2.22e-16, 7.93]",0.39805464716663386,0.11946194871949474,32.00000000000001,32.38809499589953,2.8098459782724365,3.5515499086298163,1.1345437541852539,1.9914746483412535,3,77,50054,50052
DTLZ6,5,8,"[2.22e-16, 2.22e-16, 2.22e-16, 2.22e-16, 7.93]",0.39805464716663386,0.11946194871949474,32.00000000000001,32.38809499589953,2.8098459782724365,3.5515499086298163,1.1345437541852539,1.9914746483412535,3,77,50054,50052
